Order23	POAexemptCode	Description
28912	Q21.10	"Atrial septal defect, unspecified"
28913	Q21.11	Secundum atrial septal defect
28914	Q21.12	Patent foramen ovale
28915	Q21.13	Coronary sinus atrial septal defect
28916	Q21.14	Superior sinus venosus atrial septal defect
28917	Q21.15	Inferior sinus venosus atrial septal defect
28918	Q21.16	"Sinus venosus atrial septal defect, unspecified"
28919	Q21.19	Other specified atrial septal defect
28921	Q21.20	"Atrioventricular septal defect, unspecified as to partial or complete"
28922	Q21.21	Partial atrioventricular septal defect
28923	Q21.22	Transitional atrioventricular septal defect
28924	Q21.23	Complete atrioventricular septal defect
29679	Q85.81	PTEN tumor syndrome
29680	Q85.82	Other Cowden syndrome
29681	Q85.83	Von Hippel-Lindau syndrome
29682	Q85.89	"Other phakomatoses, not elsewhere classified"
32437	S06.0XAD	"Concussion with loss of consciousness status unknown, subsequent encounter"
32438	S06.0XAS	"Concussion with loss of consciousness status unknown, sequela"
32479	S06.1XAD	"Traumatic cerebral edema with loss of consciousness status unknown, subsequent encounter"
32480	S06.1XAS	"Traumatic cerebral edema with loss of consciousness status unknown, sequela"
32521	S06.2XAD	"Diffuse traumatic brain injury with loss of consciousness status unknown, subsequent encounter"
32522	S06.2XAS	"Diffuse traumatic brain injury with loss of consciousness status unknown, sequela"
32563	S06.30AD	"Unspecified focal traumatic brain injury with loss of consciousness status unknown, subsequent encounter"
32564	S06.30AS	"Unspecified focal traumatic brain injury with loss of consciousness status unknown, sequela"
32604	S06.31AD	"Contusion and laceration of right cerebrum with loss of consciousness status unknown, subsequent encounter"
32605	S06.31AS	"Contusion and laceration of right cerebrum with loss of consciousness status unknown, sequela"
32645	S06.32AD	"Contusion and laceration of left cerebrum with loss of consciousness status unknown, subsequent encounter"
32646	S06.32AS	"Contusion and laceration of left cerebrum with loss of consciousness status unknown, sequela"
32686	S06.33AD	"Contusion and laceration of cerebrum, unspecified, with loss of consciousness status unknown, subsequent encounter"
32687	S06.33AS	"Contusion and laceration of cerebrum, unspecified, with loss of consciousness status unknown, sequela"
32727	S06.34AD	"Traumatic hemorrhage of right cerebrum with loss of consciousness status unknown, subsequent encounter"
32728	S06.34AS	"Traumatic hemorrhage of right cerebrum with loss of consciousness status unknown, sequela"
32768	S06.35AD	"Traumatic hemorrhage of left cerebrum with loss of consciousness status unknown, subsequent encounter"
32769	S06.35AS	"Traumatic hemorrhage of left cerebrum with loss of consciousness status unknown, sequela"
32809	S06.36AD	"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness status unknown, subsequent encounter"
32810	S06.36AS	"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness status unknown, sequela"
32850	S06.37AD	"Contusion, laceration, and hemorrhage of cerebellum with loss of consciousness status unknown, subsequent encounter"
32851	S06.37AS	"Contusion, laceration, and hemorrhage of cerebellum with loss of consciousness status unknown, sequela"
32891	S06.38AD	"Contusion, laceration, and hemorrhage of brainstem with loss of consciousness status unknown, subsequent encounter"
32892	S06.38AS	"Contusion, laceration, and hemorrhage of brainstem with loss of consciousness status unknown, sequela"
32933	S06.4XAD	"Epidural hemorrhage with loss of consciousness status unknown, subsequent encounter"
32934	S06.4XAS	"Epidural hemorrhage with loss of consciousness status unknown, sequela"
32975	S06.5XAD	"Traumatic subdural hemorrhage with loss of consciousness status unknown, subsequent encounter"
32976	S06.5XAS	"Traumatic subdural hemorrhage with loss of consciousness status unknown, sequela"
33017	S06.6XAD	"Traumatic subarachnoid hemorrhage with loss of consciousness status unknown, subsequent encounter"
33018	S06.6XAS	"Traumatic subarachnoid hemorrhage with loss of consciousness status unknown, sequela"
33059	S06.81AD	"Injury of right internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness status unknown, subsequent encounter"
33060	S06.81AS	"Injury of right internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness status unknown, sequela"
33100	S06.82AD	"Injury of left internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness status unknown, subsequent encounter"
33101	S06.82AS	"Injury of left internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness status unknown, sequela"
33182	S06.89AD	"Other specified intracranial injury with loss of consciousness status unknown, subsequent encounter"
33183	S06.89AS	"Other specified intracranial injury with loss of consciousness status unknown, sequela"
33109	S06.8A0D	"Primary blast injury of brain, not elsewhere classified without loss of consciousness, subsequent encounter"
33110	S06.8A0S	"Primary blast injury of brain, not elsewhere classified without loss of consciousness, sequela"
33113	S06.8A1D	"Primary blast injury of brain, not elsewhere classified with loss of consciousness of 30 minutes or less, subsequent encounter"
33114	S06.8A1S	"Primary blast injury of brain, not elsewhere classified with loss of consciousness of 30 minutes or less, sequela"
33117	S06.8A2D	"Primary blast injury of brain, not elsewhere classified with loss of consciousness of 31 minutes to 59 minutes, subsequent encounter"
33118	S06.8A2S	"Primary blast injury of brain, not elsewhere classified with loss of consciousness of 31 minutes to 59 minutes, sequela"
33121	S06.8A3D	"Primary blast injury of brain, not elsewhere classified with loss of consciousness of 1 hour to 5 hours 59 minutes, subsequent encounter"
33122	S06.8A3S	"Primary blast injury of brain, not elsewhere classified with loss of consciousness of 1 hour to 5 hours 59 minutes, sequela"
33125	S06.8A4D	"Primary blast injury of brain, not elsewhere classified with loss of consciousness of 6 hours to 24 hours, subsequent encounter"
33126	S06.8A4S	"Primary blast injury of brain, not elsewhere classified with loss of consciousness of 6 hours to 24 hours, sequela"
