Order23	POAexemptCode	Description
01235	B90.0	Sequelae of central nervous system tuberculosis
01236	B90.1	Sequelae of genitourinary tuberculosis
01237	B90.2	Sequelae of tuberculosis of bones and joints
01238	B90.8	Sequelae of tuberculosis of other organs
01239	B90.9	Sequelae of respiratory and unspecified tuberculosis
01240	B91	Sequelae of poliomyelitis
01241	B92	Sequelae of leprosy
01243	B94.0	Sequelae of trachoma
01244	B94.1	Sequelae of viral encephalitis
01245	B94.2	Sequelae of viral hepatitis
01246	B94.8	Sequelae of other specified infectious and parasitic diseases
01247	B94.9	Sequelae of unspecified infectious and parasitic disease
04626	E64.0	Sequelae of protein-calorie malnutrition
04627	E64.1	Sequelae of vitamin A deficiency
04628	E64.2	Sequelae of vitamin C deficiency
04629	E64.3	Sequelae of rickets
04630	E64.8	Sequelae of other nutritional deficiencies
04631	E64.9	Sequelae of unspecified nutritional deficiency
11352	I25.2	Old myocardial infarction
11835	I69.00	Unspecified sequelae of nontraumatic subarachnoid hemorrhage
11837	I69.010	Attention and concentration deficit following nontraumatic subarachnoid hemorrhage
11838	I69.011	Memory deficit following nontraumatic subarachnoid hemorrhage
11839	I69.012	Visuospatial deficit and spatial neglect following nontraumatic subarachnoid hemorrhage
11840	I69.013	Psychomotor deficit following nontraumatic subarachnoid hemorrhage
11841	I69.014	Frontal lobe and executive function deficit following nontraumatic subarachnoid hemorrhage
11842	I69.015	Cognitive social or emotional deficit following nontraumatic subarachnoid hemorrhage
11843	I69.018	Other symptoms and signs involving cognitive functions following nontraumatic subarachnoid hemorrhage
11844	I69.019	Unspecified symptoms and signs involving cognitive functions following nontraumatic subarachnoid hemorrhage
11846	I69.020	Aphasia following nontraumatic subarachnoid hemorrhage
11847	I69.021	Dysphasia following nontraumatic subarachnoid hemorrhage
11848	I69.022	Dysarthria following nontraumatic subarachnoid hemorrhage
11849	I69.023	Fluency disorder following nontraumatic subarachnoid hemorrhage
11850	I69.028	Other speech and language deficits following nontraumatic subarachnoid hemorrhage
11852	I69.031	Monoplegia of upper limb following nontraumatic subarachnoid hemorrhage affecting right dominant side
11853	I69.032	Monoplegia of upper limb following nontraumatic subarachnoid hemorrhage affecting left dominant side
11854	I69.033	Monoplegia of upper limb following nontraumatic subarachnoid hemorrhage affecting right non-dominant side
11855	I69.034	Monoplegia of upper limb following nontraumatic subarachnoid hemorrhage affecting left non-dominant side
11856	I69.039	Monoplegia of upper limb following nontraumatic subarachnoid hemorrhage affecting unspecified side
11858	I69.041	Monoplegia of lower limb following nontraumatic subarachnoid hemorrhage affecting right dominant side
11859	I69.042	Monoplegia of lower limb following nontraumatic subarachnoid hemorrhage affecting left dominant side
11860	I69.043	Monoplegia of lower limb following nontraumatic subarachnoid hemorrhage affecting right non-dominant side
11861	I69.044	Monoplegia of lower limb following nontraumatic subarachnoid hemorrhage affecting left non-dominant side
11862	I69.049	Monoplegia of lower limb following nontraumatic subarachnoid hemorrhage affecting unspecified side
