POAexemptCode	Description
Q21.1	Atrial septal defect
Q21.2	Atrioventricular septal defect
Q85.8	"Other phakomatoses, not elsewhere classified"
V20.0XXA	"Motorcycle driver injured in collision with pedestrian or animal in nontraffic accident, initial encounter"
V20.0XXD	"Motorcycle driver injured in collision with pedestrian or animal in nontraffic accident, subsequent encounter"
V20.0XXS	"Motorcycle driver injured in collision with pedestrian or animal in nontraffic accident, sequela"
V20.1XXA	"Motorcycle passenger injured in collision with pedestrian or animal in nontraffic accident, initial encounter"
V20.1XXD	"Motorcycle passenger injured in collision with pedestrian or animal in nontraffic accident, subsequent encounter"
V20.1XXS	"Motorcycle passenger injured in collision with pedestrian or animal in nontraffic accident, sequela"
V20.2XXA	"Unspecified motorcycle rider injured in collision with pedestrian or animal in nontraffic accident, initial encounter"
V20.2XXD	"Unspecified motorcycle rider injured in collision with pedestrian or animal in nontraffic accident, subsequent encounter"
V20.2XXS	"Unspecified motorcycle rider injured in collision with pedestrian or animal in nontraffic accident, sequela"
V20.3XXA	"Person boarding or alighting a motorcycle injured in collision with pedestrian or animal, initial encounter"
V20.3XXD	"Person boarding or alighting a motorcycle injured in collision with pedestrian or animal, subsequent encounter"
V20.3XXS	"Person boarding or alighting a motorcycle injured in collision with pedestrian or animal, sequela"
V20.4XXA	"Motorcycle driver injured in collision with pedestrian or animal in traffic accident, initial encounter"
V20.4XXD	"Motorcycle driver injured in collision with pedestrian or animal in traffic accident, subsequent encounter"
V20.4XXS	"Motorcycle driver injured in collision with pedestrian or animal in traffic accident, sequela"
V20.5XXA	"Motorcycle passenger injured in collision with pedestrian or animal in traffic accident, initial encounter"
V20.5XXD	"Motorcycle passenger injured in collision with pedestrian or animal in traffic accident, subsequent encounter"
V20.5XXS	"Motorcycle passenger injured in collision with pedestrian or animal in traffic accident, sequela"
V20.9XXA	"Unspecified motorcycle rider injured in collision with pedestrian or animal in traffic accident, initial encounter"
V20.9XXD	"Unspecified motorcycle rider injured in collision with pedestrian or animal in traffic accident, subsequent encounter"
V20.9XXS	"Unspecified motorcycle rider injured in collision with pedestrian or animal in traffic accident, sequela"
